id,candidate_length,in_candidates,response,answer
0,2,True,Wilhelm Röntgen,Wilhelm Röntgen
1,1,True,Utrecht University,Utrecht University
2,10,True,Undergraduate education,Student
3,5,True,Wilhelm Röntgen,Wilhelm Röntgen
4,3,True,"Magdalene College, Cambridge","Magdalene College, Cambridge"
5,10,True,"Patrick Blackett, Baron Blackett","Patrick Blackett, Baron Blackett"
6,2,True,Cavendish Laboratory,Cavendish Laboratory
7,10,True,Experimental physics,Physicist
8,10,True,Professor Rutherford,Professor
9,10,True,Ernest Rutherford,Ernest Rutherford
10,10,True,Research fellow,Fellow
11,10,True,"King's College, Cambridge","King's College, Cambridge"
12,10,True,University of Cambridge,Cambridge
13,10,False,nic,"Patrick Blackett, Baron Blackett"
14,2,True,Royal Aircraft Establishment,Royal Aircraft Establishment
15,10,True,Royal Aircraft Establishment,"Farnborough, Hampshire"
16,1,True,Hans Geiger,Hans Geiger
17,10,False,nic,Director (business)
18,7,True,Walther Bothe,Walther Bothe
19,10,False,nic,Research assistant
20,10,True,Hans Geiger,Hans Geiger
21,10,False,nic,Walther Bothe
22,10,True,Hans Geiger,Hans Geiger
23,10,False,nic,Director (business)
24,10,True,French Third Republic,France
25,10,True,Nazi Germany,Germany
26,1,True,Walther Bothe,Walther Bothe
27,1,True,Frédéric Joliot-Curie,Frédéric Joliot-Curie
28,10,True,Paris,Paris
29,1,True,Albert Lutuli,Albert Lutuli
30,10,True,Head teacher,Principal (academia)
31,10,True,Education,Teacher
32,10,True,primary school,Primary school
33,10,True,"Newcastle, KwaZulu-Natal","Newcastle, KwaZulu-Natal"
34,10,True,Natal Province,KwaZulu-Natal
35,1,True,Albert Lutuli,Albert Lutuli
36,10,True,Methodist Church,United Methodist Church
37,10,True,Methodist local preacher,Preacher
38,1,True,Albert Lutuli,Albert Lutuli
39,4,True,African National Congress,African National Congress
40,10,False,nic,Albert Lutuli
41,7,True,KwaZulu Provincial Division,KwaZulu-Natal Division
42,4,True,African National Congress,African National Congress
43,10,False,nic,KwaZulu-Natal Division
44,8,True,Nelson Mandela,Nelson Mandela
45,1,True,Umkhonto we Sizwe,Umkhonto we Sizwe
46,1,True,Albert Lutuli,Albert Lutuli
47,10,True,United States,United States
48,5,True,Robert F. Kennedy,Robert F. Kennedy
49,10,True,South Africa,South Africa
50,1,True,Giulio Natta,Giulio Natta
51,10,True,Imperia,Imperia
52,10,True,Italy,Italy
53,10,False,nic,Giulio Natta
54,10,False,nic,Giulio Natta
55,1,True,Polytechnic University of Milan,Polytechnic University of Milan
56,10,True,Milan,Milan
57,6,True,Giulio Natta,Giulio Natta
58,2,True,Karl Ziegler,Karl Ziegler
59,2,True,Professor,Professor
60,10,False,nic,Director (business)
61,1,True,Polytechnic University of Turin,Polytechnic University of Turin
62,6,True,Maria Goeppert-Mayer,Maria Goeppert-Mayer
63,1,True,Joseph Edward Mayer,Joseph Edward Mayer
64,10,True,United States,United States
65,7,True,Maria Goeppert-Mayer,Maria Goeppert-Mayer
66,6,True,associate professor,Professor
67,8,True,Johns Hopkins University,Johns Hopkins University
68,8,True,Johns Hopkins University,Johns Hopkins University
69,6,True,Maria Goeppert-Mayer,Maria Goeppert-Mayer
70,5,True,Faculty (academic staff),Faculty (academic staff)
71,10,False,nic,Maria Goeppert-Mayer
72,10,False,nic,Research assistant
73,6,True,Associate Professor,Professor
74,10,True,University of Chicago,University of Chicago
75,10,True,Enrico Fermi,Physicist
76,1,True,Argonne National Laboratory,Argonne National Laboratory
77,1,True,J. Hans D. Jensen,J. Hans D. Jensen
78,1,True,Eugene Wigner,Eugene Wigner
79,6,True,Maria Goeppert-Mayer,Maria Goeppert-Mayer
80,10,False,nic,Maria Goeppert-Mayer
81,1,True,Sarah Lawrence College,Sarah Lawrence College
